Title,Description,Labels,Estimate,Parent,Reference,Status
Set up Claude Code studio,"Epic: stand up the Claude Code 'studio' — agents, skills, hooks, MCP connectors, and the CLAUDE.md hierarchy — so the project is powerful and easy to drive. This epic operationalizes the architecture blueprint.",setup;claude-code,8,,docs/research/02-architecture-blueprint.md,Done
Initialize Astro 6 + React 19.2 + Tailwind v4 project,"Scaffold the app: Astro 6 static-first, React 19.2 islands, Tailwind CSS v4 (CSS-first config). Confirm pnpm, strict TypeScript, clean dev server. Commit the baseline.",setup;stack,3,Set up Claude Code studio,docs/research/01-stack-and-claude-setup.md,Done
Write and trim root CLAUDE.md,"Run /init, then trim CLAUDE.md to facts only: stack, commands, conventions, hard rules, agent/skill index. Keep under ~200 lines. Procedures go in skills, not here.",setup;claude-code,1,Set up Claude Code studio,docs/research/01-stack-and-claude-setup.md,Done
Configure .claude/settings.json permissions,"Set allow/ask/deny: allow routine pnpm lint/test/build/tokens, ask on git push, deny reads of .env and secrets. Verify hooks are wired.",setup;claude-code,1,Set up Claude Code studio,docs/research/01-stack-and-claude-setup.md,Done
Author the six studio subagents,"Create accessibility-reviewer (read-only, signature), design (generate+review), frontend-architect (Opus, plan-first), content-writer, devops-release, qa-test. Scope tools tightly; reviewers read-only.",setup;claude-code,3,Set up Claude Code studio,docs/research/02-architecture-blueprint.md,Done
Author the workflow skills,"Create /scope-ticket, /adr, /sync-tokens, /seed-linear, /seed-notion. Seed skills are manual-invoke only.",setup;claude-code,2,Set up Claude Code studio,docs/research/02-architecture-blueprint.md,Done
Add PreToolUse and PostToolUse hooks,"guard-bash.sh blocks destructive rm and secret reads; format-and-lint.sh runs Prettier + ESLint (jsx-a11y) after edits. Confirm both fire.",setup;claude-code,1,Set up Claude Code studio,docs/research/01-stack-and-claude-setup.md,Done
Set up the design token pipeline,"Epic: DTCG tokens → Style Dictionary v5 → CSS variables + Tailwind v4 theme, with the three-tier (primitive/semantic/component) architecture.",setup;design-system,5,,docs/research/02-architecture-blueprint.md,Done
Configure Tokens Studio to DTCG and sync to repo,"Set Tokens Studio output to W3C DTCG. Sync tokens/*.json into the repo as the source of truth.",design-system,2,Set up the design token pipeline,docs/research/01-stack-and-claude-setup.md,Done
Wire Style Dictionary v5 build,"Add Style Dictionary v5 + @tokens-studio/sd-transforms. Output src/styles/tokens.css and the Tailwind theme. Expose as pnpm tokens.",design-system,2,Set up the design token pipeline,docs/research/01-stack-and-claude-setup.md,Done
Document token naming and pipeline,"Write tokens/CLAUDE.md and an ADR on the token architecture. Set Figma variable code syntax to match token names.",design-system;docs,1,Set up the design token pipeline,docs/research/02-architecture-blueprint.md,Done
Build the component system on React Aria,"Epic: leaf primitives on React Aria Components, consuming tokens, documented in Storybook 10.",design-system;a11y,5,,docs/research/02-architecture-blueprint.md,Done
Build leaf primitives,"Button, Input, Text, Badge, Icon on React Aria Components + tokens. These cascade through Code Connect coverage, so do them first.",design-system;a11y,3,Build the component system on React Aria,docs/research/02-architecture-blueprint.md,Done
Stand up Storybook 10 with a11y + vitest addons,"Configure Storybook 10 with addon-a11y (axe) and addon-vitest. Add src/components/CLAUDE.md.",design-system;testing,2,Build the component system on React Aria,docs/research/01-stack-and-claude-setup.md,Done
Set up Figma Code Connect for primitives,"Map Figma components to the leaf primitives via Code Connect (seat permitting). Improves design-to-code accuracy; fall back to get_variable_defs + screenshots if no seat.",design-system;design,2,Build the component system on React Aria,docs/research/02-architecture-blueprint.md,Done
Connect MCP servers,"Epic: connect and verify Figma, Linear, Notion, GitHub, Playwright via claude mcp add / OAuth.",setup;mcp,3,,docs/research/02-architecture-blueprint.md,Todo
Connect Playwright MCP,"claude mcp add playwright npx @playwright/mcp@latest. Verify the design/qa agents can drive a browser.",mcp,1,Connect MCP servers,docs/research/01-stack-and-claude-setup.md,Done
Connect Figma MCP and authenticate,"Add the remote Figma MCP (https://mcp.figma.com/mcp), authenticate via OAuth in /mcp. Confirm get_design_context and get_variable_defs work.",mcp;design,1,Connect MCP servers,docs/research/02-architecture-blueprint.md,Done
Connect Linear MCP and authenticate,"Add the remote Linear MCP (https://mcp.linear.app/mcp), authenticate via OAuth. Confirm issue create/update works.",mcp,1,Connect MCP servers,docs/research/01-stack-and-claude-setup.md,Done
Connect Notion MCP and authenticate,"Add the remote Notion MCP (https://mcp.notion.com/mcp), authenticate via OAuth, share the target space with the integration.",mcp,1,Connect MCP servers,docs/research/02-architecture-blueprint.md,Done
GitHub access via gh CLI (remote MCP unreachable),"The remote GitHub MCP (api.githubcopilot.com/mcp) can't connect from Claude Code — its OAuth authorization server advertises no registration_endpoint, so /mcp dynamic client registration (RFC 7591) has no client to bootstrap (upstream limitation, not fixable by authenticating). GitHub ops run through the gh CLI instead, per commit b341fcd and SETUP.md. Resolved.",mcp;devops,1,Connect MCP servers,SETUP.md,Done
Run /seed-linear to create the backlog,"Once Linear is connected, run /seed-linear to create this project and all tasks. (Meta: this very backlog.)",setup;claude-code,1,Connect MCP servers,docs/research/02-architecture-blueprint.md,Done
Run /seed-notion to publish docs,"Once Notion is connected, run /seed-notion to publish the research reports and build journal.",setup;docs,1,Connect MCP servers,docs/research/02-architecture-blueprint.md,Todo
Set up the CI/CD loop,"Epic: GitHub Actions for lint + Vitest + Playwright a11y + Lighthouse CI, plus deploy to Cloudflare.",devops;ci,5,,docs/research/02-architecture-blueprint.md,Todo
Author CI workflow,"ci.yml: install, lint (jsx-a11y), Vitest, build, @axe-core/playwright suite (own project, upload report), Lighthouse CI with budgets. Fail on new critical/serious axe violations.",devops;ci;a11y,3,Set up the CI/CD loop,docs/research/02-architecture-blueprint.md,Todo
Connect Cloudflare Pages Git integration,"Connect the repo in the Cloudflare dashboard as a Pages project (NOT Workers): production deploy on main, automatic preview URL per PR/branch. Static path (output: static, no adapter). Do not attach michaelstates.com yet — deploy to *.pages.dev as staging. Add public/_headers for caching+security.",devops;ci,2,Set up the CI/CD loop,docs/research/01-stack-and-claude-setup.md,Todo
Cut over to michaelstates.com,"When the staged site looks right: attach the custom domain to the Pages project, set canonical redirect, provision HTTPS, publish the accessibility statement. This replaces the old live site.",devops;milestone,1,Set up the CI/CD loop,docs/research/01-stack-and-claude-setup.md,Todo
Wire Linear <-> GitHub linkage,"Enable branch/PR auto-linking and magic words (Fixes ENG-123). Keep state automations conservative — Done only on merge to main.",devops;process,1,Set up the CI/CD loop,docs/research/02-architecture-blueprint.md,Todo
Run one feature through the full loop,"Pick one small feature: /scope-ticket → branch → Plan Mode build → PR with Fixes → CI green → design+a11y review → merge → deploy → build-journal entry. Prove the system end to end before scaling.",process;milestone,3,Set up the CI/CD loop,docs/research/02-architecture-blueprint.md,Todo
Establish accessibility verification baseline,"Epic: the three-layer a11y posture — agent review, Storybook addon-a11y, CI axe/Lighthouse — plus manual screen-reader passes.",a11y;milestone,5,,docs/research/02-architecture-blueprint.md,Todo
Document the accessibility pipeline as a case study,"Write up the a11y CI + agent-review approach as a portfolio case study. This is the signature competency — make it visible.",a11y;docs;portfolio,2,Establish accessibility verification baseline,docs/research/02-architecture-blueprint.md,Todo
Manual screen-reader pass (VoiceOver + NVDA),"Run the primary flows through VoiceOver and NVDA. Record findings in docs/a11y/. Automation catches a minority of issues — this is where expertise shows.",a11y,2,Establish accessibility verification baseline,docs/research/02-architecture-blueprint.md,Todo
Publish an accessibility statement,"Add a public accessibility statement to the site documenting conformance target (WCAG 2.2 AA) and known limitations.",a11y;content,1,Establish accessibility verification baseline,docs/research/02-architecture-blueprint.md,Todo
"Launch readiness (meta, sharing, analytics)","Epic: the small set of launch-critical, audience-shaped tasks — make the site share well when the URL is forwarded, be findable by name, and confirm visits — without over-investing in SEO this low-volume/high-intent audience doesn't need.",launch;content,3,,SETUP.md,Todo
